CHARACTER_ID,RACE,BACKGROUND,PRIMARY_CLASS,SUBCLASS,CHAR_LEVEL,FEATS,HITPOINTS,ARMOUR_CLASS,STRENGTH,DEXTERITY,CONSTITUTION,INTELLIGENCE,WISDOM,CHARISMA,ALIGNMENT,SKILLS,WEAPONS,SPELLS
22bf79,Deep Gnome,Acolyte,Warlock,The Celestial,20,,260,15,18,18,20,22,24,20,,Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion,Dagger|Dagger,Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection From Good and Evil*1|Mage Armor - No Slot Needed*1|Disguise Self - No Slot Needed*1|Flaming Sphere*2|Lessor Restoration*2|Invisibility*2|Misty Step*2|Levitate - No Slot Needed*2|Alter Self - No Slot Needed*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Dance Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9
b1bd6b,Human,Hermit,Monk,Way of the Four Elements,20,Mobile|Observant,200,20,13,20,15,12,21,11,,Acrobatics|History|Religion|Insight|Medicine,Dagger|Dart|Unarmed strike,
e9a755,Wood Elf,Guild Artisan,Wizard,School of Conjuration,20,Spell Sniper|Elven Accuracy|Elemental Adept|War Caster|Lucky,122,13,10,16,14,20,14,12,,Arcana|Insight|Medicine|Perception|Persuasion,Quarterstaff,Blade Ward*0|Firebolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify (Free)*1|Find Familiar*1|Catapault*1|Ray Of Sickness*1|Disguise Self*1|Misty Step (Free)*2|Mirror Image*2|Scorching Ray*2|Nystul's Magic Aura*2|Mind Spike*2|Counterspell (Signature)*3|Fireball (Signature)*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen's Faithful Hound*4|Steel Wind Strike*5|Bigby's Hand*5|Contingency*6|Tenser's Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Shield*8|Clone (Has A Clone) *8|Wish*9|Invulnerability*9
68bf99,Kenku,Clan Crafter,Warlock,The Great Old One,20,Actor|War Caster,220,16,12,20,16,14,14,21,,Stealth|Arcana|History|Religion|Insight|Deception,"Crossbow, light|Dagger|Dagger",
7b7c1c,Human,Folk Hero,Cleric,War Domain,20,,203,24,20,16,20,12,20,15,,Religion|Animal Handling|Insight|Survival,Spear|ThePowerhead|GaeBolga,Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5
c4f62f,Dragonborn,Hermit,Barbarian,Path of the Totem Warrior,20,,285,20,24,16,24,12,12,12,,Religion|Medicine|Survival|Intimidation,Greataxe|Handaxe|Javelin,
1ed728,Half-Elf,Faction Agent,Sorcerer,Draconic Bloodline,20,Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept,182,17,14,18,18,15,18,24,,Arcana|Insight|Perception|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger",
eecfc2,Tiefling,Charlatan,Warlock,The Hexblade,20,Heavily Armored,260,18,8,10,20,12,14,20,,Sleight of Hand|Investigation|Deception|Intimidation,Dagger|Greataxe,
7ff7d2,Tiefling,Noble,Paladin,Oath of Ancients,20,Tough|Lucky,280,20,20,12,14,12,12,20,,Athletics|History|Intimidation|Persuasion,Javelin|Greataxe|Longsword,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5
370d36,Gray Dwarf,Acolyte,Paladin,Oath of Ancients,19,War Caster|Skilled|Resilient,266,21,20,14,19,8,12,18,,Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion,Longsword,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5
